body_type,price,vat,make1,model1,short_description1_displ,km1,age1,hp1,Type1,Body_Color1,Upholstery1,Nr_of_Doors1,Nr_of_Seats1,Gearing_Type1,Displacement1,Cylinders1,Weight1,Drive_chain1,Fuel1,Consump_comb1,Consump_city1,Consump_country1,CO2_Emission1,Comfort_point1,Entertainment_point1,Extras_point1,Safety_point1,Gears1
Sedans,18890,,Audi,A1,1.0,2949.0,1.2493150684931507,70.0,Used,Silver,Cloth,5.0,4.0,Automatic,1.0,3.0,1135.0,front,Gasoline,4.4,4.4,4.4,104.0,16.0,3.0,3.0,9.0,7.0
Sedans,18890,,Audi,A1,1.0,17861.0,2.5863013698630137,71.0,Used,,,5.0,4.0,Automatic,1.0,,,,Gasoline,,,,,9.0,3.0,3.0,11.0,
Compact,18890,,Audi,A1,1.4,22800.0,2.7534246575342465,92.0,Used,Black,Part leather,4.0,4.0,Automatic,1.4,,,,Gasoline,5.1,5.1,5.1,117.0,14.0,6.0,3.0,13.0,
Sedans,18880,VAT deductible,Audi,A1,1.0,5108.0,2.5863013698630137,70.0,Used,Black,Cloth,5.0,5.0,Automatic,1.0,,1165.0,front,Gasoline,4.4,4.4,4.4,10.0,18.0,4.0,4.0,15.0,
Sedans,18880,VAT deductible,Audi,A1,1.0,11335.0,1.6684931506849314,70.0,Employee's car,White,Cloth,5.0,5.0,Automatic,1.0,3.0,,front,Gasoline,4.4,4.4,4.4,10.0,15.0,8.0,4.0,15.0,
Compact,18880,VAT deductible,Audi,A1,1.0,6396.0,1.5013698630136987,70.0,Used,Red,Cloth,5.0,4.0,Automatic,1.0,,1135.0,,Gasoline,4.4,4.4,4.4,104.0,16.0,3.0,2.0,12.0,
Compact,18880,VAT deductible,Audi,A1,1.6,47800.0,3.9178082191780823,85.0,Used,Grey,Cloth,4.0,5.0,Automatic,1.6,,,,Diesel,3.8,3.8,3.8,99.0,21.0,6.0,4.0,15.0,
Compact,18880,VAT deductible,Audi,A1,1.0,7021.0,1.6684931506849314,70.0,Used,Blue,Cloth,5.0,,Automatic,0.9,,,front,Gasoline,4.4,4.4,4.4,10.0,16.0,6.0,3.0,11.0,
Compact,18880,VAT deductible,Audi,A1,1.4,30952.0,3.6684931506849314,92.0,Used,Black,Full leather,5.0,4.0,Automatic,1.4,4.0,1180.0,front,Gasoline,5.2,5.2,5.2,123.0,16.0,5.0,4.0,14.0,7.0
Sedans,18880,VAT deductible,Audi,A1,1.4,33991.0,3.6684931506849314,92.0,Used,White,Full leather,4.0,4.0,Automatic,1.4,4.0,,front,Gasoline,5.2,5.2,5.2,,18.0,7.0,5.0,13.0,
